Account,sentiment_simple,trades,total_pnl,avg_pnl,win_rate,avg_size_usd
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,3737,223968.37089299998,59.93266547845865,0.39175809472839174,20468.303636606903
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,2433,103311.026975,42.46240319564324,0.3218249075215783,15617.004525277434
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,1309,-25991.506339,-19.856001786860197,0.3315508021390374,10190.317929717341
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5777,403501.648209,69.84622610507184,0.4156136402977324,28304.44506318158
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,223,0.0,0.0,0.0,3261.5788789237668
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,572,6979.340871,12.20164487937063,0.2692307692307692,891.0710664335664
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,250,101539.274031,406.15709612399996,1.0,525.47136
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,932,98269.195073,105.43905050751073,0.43991416309012876,8098.078723175966
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,202,327545.999992,1621.5148514455445,0.5148514851485149,16311.138465346536
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,939,341945.434741,364.15914242918,0.3961661341853035,2123.4002662406815
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,419,51737.579418,123.4787098281623,0.028639618138424822,2305.200429594272
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,4885,136208.043913,27.882915847082906,0.7985670419651996,2330.3033080859777
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,4057,225368.416067,55.550509259797884,0.8232684249445403,3271.755262509243
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,6,0.16271999999999998,0.027119999999999995,0.16666666666666666,34.916666666666664
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,1554,14781.443047,9.511868112612612,0.4510939510939511,3643.361287001287
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,3056,196303.792847,64.2355343085733,0.28763089005235604,2249.731112565445
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,15,0.0,0.0,0.0,2333.2533333333336
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,1802,64510.169958,35.799206413984464,0.3401775804661487,6453.556398446171
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,54,11.717676000000012,0.21699400000000021,0.037037037037037035,933.2848148148149
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,5602,46257.358187,8.2572935,0.30739021777936454,658.3625776508391
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,1804,39978.37791,22.16096336474501,0.32427937915742794,1376.8141407982262
